Redirect Name,URL ,Tracked Link as it should be included in the HTML code 
access,http://tjmaxx.tjx.com/store/jump/category/jewelry/cat1260024p,http://%%track%%/access
booties,http://tjmaxx.tjx.com/store/jump/category/shoes/departments/boots-%26-booties/cat260009,http://%%track%%/booties
clearance,http://tjmaxx.tjx.com/store/jump/category/clearance/cat270011,http://%%track%%/clearance
facebook,https://www.facebook.com/TJMaxx,http://%%track%%/facebook
handbags,http://tjmaxx.tjx.com/store/jump/category/handbags/cat260007,http://%%track%%/handbags
handbags2,http://tjmaxx.tjx.com/store/jump/category/handbags/cat260007,http://%%track%%/handbags2
jewelry,http://tjmaxx.tjx.com/store/jump/category/jewelry-&-accessories/jewelry/view-all/cat1390170p,http://%%track%%/jewelry
jewelry2,http://tjmaxx.tjx.com/store/jump/category/jewelry/cat1260024p,http://%%track%%/jewelry2
justin,http://tjmaxx.tjx.com/store/jump/category/just-in/cat240003,http://%%track%%/justin
men,http://tjmaxx.tjx.com/store/jump/category/men/cat1160005p,http://%%track%%/men
mlogin,https://m.tjmaxx.tjx.com/m/account/login.jsp,http://%%track%%/mlogin
mobile,http://ebm.cheetahmail.com/c/mobile/%%t%%/doc.html?&email=%%email%%&t_params=%%t_params%%,http://%%track%%/mobile?email=%%email%%&t_params=%%t_params%%
mshop,http://m.tjmaxx.tjx.com/m/index.jsp,http://%%track%%/mshop
mstoreloc,http://m.tjmaxx.tjx.com/m/stores/storeResults.jsp,http://%%track%%/mstoreloc
pinterest,http://pinterest.com/tjmaxx/,http://%%track%%/pinterest
preheader,http://tjmaxx.tjx.com/store/jump/category/jewelry/cat1260024p,http://%%track%%/preheader
privacy,http://tjmaxx.tjx.com/store/jump/topic/privacy-policy/2400099,http://%%track%%/privacy
shoes,http://tjmaxx.tjx.com/store/jump/category/shoes/cat260006,http://%%track%%/shoes
storeloc,http://tjmaxx.tjx.com/store/stores/storeLocator.jsp,http://%%track%%/storeloc
sunglasses,http://tjmaxx.tjx.com/store/jump/category/women/departments/accessories/sunglasses-%26-eyewear/cat530003p,http://%%track%%/sunglasses
terms,http://tjmaxx.tjx.com/store/jump/topic/terms-of-use/2400125,http://%%track%%/terms
tjmaxx,http://tjmaxx.tjx.com/store/index.jsp,http://%%track%%/tjmaxx
tjmaxx2,http://tjmaxx.tjx.com/store/index.jsp,http://%%track%%/tjmaxx2
tjmaxx3,http://tjmaxx.tjx.com/store/index.jsp,http://%%track%%/tjmaxx3
tjmaxx4,http://tjmaxx.tjx.com/store/index.jsp,http://%%track%%/tjmaxx4
twitter,https://twitter.com/tjmaxx,http://%%track%%/twitter
unsub,http://ebm.cheetahmail.com/r/webunsub?t=%%t%%&n=1&email=%%email%%,http://%%track%%/unsub?email=%%email%%
webview,http://ebm.cheetahmail.com/c/tag/%%t%%/doc.html?&email=%%email%%&t_params=%%t_params%%,http://%%track%%/webview?email=%%email%%&t_params=%%t_params%%
women,http://tjmaxx.tjx.com/store/jump/category/women/cat260062,http://%%track%%/women
